method,ode_steps,num_seeds,success_rate_mean,success_rate_std,ring_pass_rate_mean,ring_pass_rate_std,collision_free_rate_mean,collision_free_rate_std,dynamic_feasibility_rate_mean,dynamic_feasibility_rate_std,endpoint_feasibility_rate_mean,endpoint_feasibility_rate_std,mean_maximum_speed_mean,mean_maximum_speed_std,mean_maximum_acceleration_mean,mean_maximum_acceleration_std,mean_path_length_mean,mean_path_length_std,trajectory_rmse_to_expert_mean,trajectory_rmse_to_expert_std,end_to_end_ms_per_trajectory_mean,end_to_end_ms_per_trajectory_std,ode_ms_per_trajectory_mean,ode_ms_per_trajectory_std,mean_residual_scale_mean,mean_residual_scale_std,cbf_intervention_rate_mean,cbf_intervention_rate_std
raw_trajectory,8,3,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.763172019067047,0.49729964148018124,184.78890638761553,16.717812208291782,14.202975443168269,0.3330661834745324,0.7233901880098483,0.013952580113277671,2.8354174482956296,0.14816787471006335,2.83342942687644,0.1483024886601624,1.0,0.0,0.0,0.0
raw_trajectory,16,3,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.200215359674216,0.3699732644347218,161.5279480462271,13.19462607608166,12.583821045390197,0.3370964967108458,0.7281973369435314,0.014213424584111107,5.859033073647879,1.321103276320789,5.856666405937479,1.3206580767259637,1.0,0.0,0.0,0.0
raw_trajectory,32,3,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.989265139329003,0.32513909617195,153.7203967219422,11.928681029088485,12.171480977587743,0.3435466234264491,0.7296156481744758,0.014121855163655463,11.111212760927932,0.2300662993453886,11.10842890678517,0.2297590051075555,1.0,0.0,0.0,0.0
raw_trajectory,64,3,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.848841264560325,0.31529988853300966,149.6433203038522,11.958666228694668,11.97255318358048,0.34834739868927755,0.7279721344232489,0.014080203996867593,23.337709636204334,1.8141731585764325,23.33486640660946,1.8137189412678174,1.0,0.0,0.0,0.0
raw_velocity,1,3,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.005208333333333333,0.004510548978043952,1.3066704605017794,0.00212319672583583,8.484598964168123,0.21304534054852056,3.5443791188678606,0.004167959606466802,0.1600802587857357,0.0027831520277624335,0.44258671914576553,0.0413341448099315,0.4033153642618951,0.03934547836497747,1.0,0.0,0.0,0.0
raw_velocity,2,3,0.1015625,0.020669932117692115,1.0,0.0,1.0,0.0,0.20572916666666666,0.009021097956087902,0.4192708333333333,0.03932205435036849,1.2019165150836482,0.004209887956933644,3.7633611832453493,0.059597888961916735,3.540961402423893,0.0053181856691103474,0.1503694842176175,0.004770110284075378,0.9245369795583732,0.15531461193789903,0.882492968836838,0.1536909353610875,1.0,0.0,0.0,0.0
raw_velocity,4,3,0.5078125,0.0390625,1.0,0.0,1.0,0.0,0.7447916666666666,0.018042195912175808,0.625,0.013531646934131853,1.2014819110865382,0.0022062523189320766,2.54513929741009,0.01756228581628713,3.5393801167034282,0.004946214002496,0.1610654152865512,0.005925282610060791,1.4462664063709478,0.10583802103949644,1.4078885415074183,0.11188883884171504,1.0,0.0,0.0,0.0
raw_velocity,8,3,0.5338541666666666,0.03608439182435161,1.0,0.0,1.0,0.0,0.84375,0.013531646934131853,0.5911458333333334,0.009021097956087904,1.198728597061992,0.0012226197517991894,2.2959110002668712,0.01966810749309324,3.5350618799847413,0.004487539729467706,0.1647354593701145,0.006317167691407896,2.7629263016327363,0.010435675974406157,2.7245072912288983,0.012207278986708993,1.0,0.0,0.0,0.0
raw_velocity,16,3,0.546875,0.013531646934131853,1.0,0.0,1.0,0.0,0.8385416666666666,0.011933790872280834,0.6067708333333334,0.016263015620829165,1.2041429809828708,0.0009104149897136523,2.26749005630584,0.02710986050000793,3.5436974924445845,0.004451129615433727,0.16582547408303497,0.00658512240108269,6.578516145358056,1.3433006031655574,6.536731509792541,1.3379063470619958,1.0,0.0,0.0,0.0
raw_velocity,32,3,0.5494791666666666,0.016263015620829165,1.0,0.0,1.0,0.0,0.8411458333333334,0.016263015620829165,0.609375,0.013531646934131853,1.210990775770193,0.0008602159647159899,2.260638709479761,0.02725743200269811,3.548321413876837,0.00447345574688109,0.16727423102989925,0.006756242462212465,11.111598957844157,0.24946691117936742,11.079618229511349,0.24429326791031475,1.0,0.0,0.0,0.0
raw_velocity,64,3,0.5442708333333334,0.018042195912175808,1.0,0.0,1.0,0.0,0.8489583333333334,0.023867581744561665,0.5989583333333334,0.011933790872280834,1.2071929799119798,0.0008800261060299069,2.241239119783662,0.02656354147004771,3.5439157814870264,0.004402772259898519,0.16717391192714595,0.006639038611456777,22.17238489538431,0.5807738007966641,22.133711458688293,0.5812219556151161,1.0,0.0,0.0,0.0
