method,query_index,latency_ms,success,collision_free,dynamic_feasible
plus_safe_prior,37,22.7052,0,1,0
plus_safe_prior,38,22.8979,0,1,0
plus_safe_prior,39,23.1356,0,1,0
plus_safe_prior,40,22.4629,0,1,0
plus_safe_prior,41,26.2064,0,1,0
plus_safe_prior,42,25.1506,0,1,0
plus_safe_prior,43,25.1819,0,1,0
plus_safe_prior,44,22.2748,0,1,0
plus_safe_prior,45,29.4891,0,1,0
plus_safe_prior,46,22.3956,0,1,0
plus_safe_prior,47,24.1009,0,1,0
plus_safe_prior,48,22.2193,0,1,0
plus_safe_prior,49,25.3458,0,1,0
plus_safe_prior,50,29.0605,0,1,0
plus_safe_prior,51,28.4239,0,1,0
plus_safe_prior,52,27.3481,0,1,0
plus_safe_prior,53,23.3856,0,1,0
plus_safe_prior,54,27.6297,0,1,0
plus_safe_prior,55,23.7716,0,1,0
plus_safe_prior,56,27.2697,0,1,0
plus_safe_prior,57,22.5421,0,1,0
plus_safe_prior,58,23.0447,0,1,0
plus_safe_prior,59,37.3692,0,1,0
plus_safe_prior,60,27.9164,0,1,0
plus_safe_prior,61,28.4437,0,1,0
plus_safe_prior,62,28.1842,0,1,0
plus_safe_prior,63,28.7222,0,1,0
plus_safe_prior,64,28.2672,0,1,0
plus_safe_prior,65,28.012,0,1,0
plus_safe_prior,66,30.9613,0,1,0
plus_safe_prior,67,21.8725,0,1,0
plus_safe_prior,68,23.8067,0,1,0
plus_safe_prior,69,23.0212,0,1,0
plus_safe_prior,70,28.0789,0,1,0
plus_safe_prior,71,25.4727,0,1,0
plus_safe_prior,72,22.3211,0,1,0
plus_safe_prior,73,27.1846,0,1,0
plus_safe_prior,74,30.5927,0,1,0
plus_safe_prior,75,25.987,0,1,0
plus_safe_prior,76,34.261,0,1,0
plus_safe_prior,77,36.4915,0,1,0
plus_safe_prior,78,32.9706,0,1,0
plus_safe_prior,79,25.0566,0,1,0
plus_safe_prior,80,29.5972,0,1,0
plus_safe_prior,81,27.4626,0,1,0
plus_safe_prior,82,23.1936,0,1,0
plus_safe_prior,83,21.9253,0,1,0
plus_safe_prior,84,26.6875,0,1,0
plus_safe_prior,85,24.7412,0,1,0
plus_safe_prior,86,28.0421,0,1,0
plus_safe_prior,87,22.7768,0,1,0
plus_safe_prior,88,22.915,0,1,0
plus_safe_prior,89,23.2627,0,1,0
plus_safe_prior,90,21.6682,0,1,0
plus_safe_prior,91,26.9605,0,1,0
plus_safe_prior,92,22.4131,0,1,0
plus_safe_prior,93,25.9236,0,1,0
plus_safe_prior,94,26.9179,0,1,0
plus_safe_prior,95,22.1931,0,1,0
plus_safe_prior,96,25.2682,0,1,0
plus_safe_prior,97,27.6794,0,1,0
plus_safe_prior,98,23.3632,0,1,0
plus_safe_prior,99,23.8605,0,1,0
plus_safe_prior,100,24.9985,0,1,0
plus_safe_prior,101,23.1363,0,1,0
plus_safe_prior,102,31.4694,0,1,0
plus_safe_prior,103,29.4506,0,1,0
plus_safe_prior,104,21.9426,0,1,0
plus_safe_prior,105,22.2564,0,1,0
plus_safe_prior,106,27.0349,0,1,0
plus_safe_prior,107,29.6216,0,1,0
plus_safe_prior,108,27.0885,0,1,0
plus_safe_prior,109,36.6201,1,1,1
plus_safe_prior,110,23.8042,0,1,0
plus_safe_prior,111,22.2213,0,1,0
plus_safe_prior,112,26.0913,0,1,0
plus_safe_prior,113,22.8431,0,1,0
plus_safe_prior,114,23.1792,0,1,0
plus_safe_prior,115,25.9568,0,1,0
plus_safe_prior,116,24.3036,0,1,0
plus_safe_prior,117,20.6561,0,1,0
plus_safe_prior,118,21.5305,0,1,0
plus_safe_prior,119,29.7827,1,1,1
plus_safe_prior,120,20.5893,0,1,0
plus_safe_prior,121,20.589,0,1,0
plus_safe_prior,122,28.5857,0,1,0
plus_safe_prior,123,33.206,0,1,0
plus_safe_prior,124,21.4769,0,1,0
plus_safe_prior,125,21.7769,0,1,0
plus_safe_prior,126,30.4621,0,1,0
plus_safe_prior,127,23.5443,0,1,0
plus_cbf,0,46.0042,0,1,0
plus_cbf,1,51.1875,0,1,0
plus_cbf,2,51.738,0,1,0
plus_cbf,3,47.3555,0,1,0
plus_cbf,4,67.813,0,1,0
plus_cbf,5,53.2314,0,1,0
