method,query_index,latency_ms,success,collision_free,dynamic_feasible
boundary_only,31,19.8968,0,1,0
boundary_only,32,19.9805,0,1,0
boundary_only,33,20.2858,0,1,0
boundary_only,34,20.2137,0,1,0
boundary_only,35,20.0403,0,1,0
boundary_only,36,22.1042,0,1,0
boundary_only,37,19.9782,0,1,0
boundary_only,38,19.9261,0,1,0
boundary_only,39,20.1288,0,1,0
boundary_only,40,19.8557,0,1,0
boundary_only,41,21.5984,0,1,0
boundary_only,42,20.2709,0,1,0
boundary_only,43,19.4335,0,1,0
boundary_only,44,19.5413,0,1,0
boundary_only,45,19.6234,0,1,0
boundary_only,46,19.8721,0,1,0
boundary_only,47,22.0737,0,1,0
boundary_only,48,23.2467,0,1,0
boundary_only,49,21.2424,0,1,0
boundary_only,50,20.0985,0,1,0
boundary_only,51,19.9656,0,1,0
boundary_only,52,21.8786,0,1,0
boundary_only,53,20.1516,0,1,0
boundary_only,54,21.9165,0,1,0
boundary_only,55,22.2668,0,1,0
boundary_only,56,20.5303,0,1,0
boundary_only,57,21.1131,0,1,0
boundary_only,58,20.0413,0,1,0
boundary_only,59,19.7802,0,1,0
boundary_only,60,19.6608,0,1,0
boundary_only,61,19.9103,0,1,0
boundary_only,62,19.8189,0,1,0
boundary_only,63,20.0321,0,1,0
boundary_only,64,19.8512,0,1,0
boundary_only,65,20.0515,0,1,0
boundary_only,66,22.7516,0,1,0
boundary_only,67,20.608,0,1,0
boundary_only,68,20.2789,0,1,0
boundary_only,69,20.4742,0,1,0
boundary_only,70,21.6411,0,1,0
boundary_only,71,22.8754,0,1,0
boundary_only,72,20.9812,0,1,0
boundary_only,73,22.2386,0,1,0
boundary_only,74,23.5362,0,1,0
boundary_only,75,20.8504,0,1,0
boundary_only,76,23.8073,0,1,0
boundary_only,77,25.3325,0,1,0
boundary_only,78,20.5994,0,1,0
boundary_only,79,22.1875,0,1,0
boundary_only,80,21.031,0,1,0
boundary_only,81,22.7553,0,1,0
boundary_only,82,19.8554,0,1,0
boundary_only,83,20.8792,0,1,0
boundary_only,84,21.4704,0,1,0
boundary_only,85,21.641,0,1,0
boundary_only,86,23.1963,0,1,0
boundary_only,87,22.8484,0,1,0
boundary_only,88,21.4444,0,1,0
boundary_only,89,25.9808,0,1,0
boundary_only,90,20.7839,0,1,0
boundary_only,91,20.2309,0,1,0
boundary_only,92,24.3991,0,1,0
boundary_only,93,23.1821,0,1,0
boundary_only,94,27.6932,0,1,0
boundary_only,95,21.0397,0,1,0
boundary_only,96,21.0363,0,1,0
boundary_only,97,21.8409,0,1,0
boundary_only,98,21.8198,0,1,0
boundary_only,99,26.4991,0,1,0
boundary_only,100,27.8066,0,1,0
boundary_only,101,25.6433,0,1,0
boundary_only,102,21.7211,0,1,0
boundary_only,103,20.8326,0,1,0
boundary_only,104,21.7947,0,1,0
boundary_only,105,19.9633,0,1,0
boundary_only,106,19.7659,0,1,0
boundary_only,107,19.7659,0,1,0
boundary_only,108,19.9563,0,1,0
boundary_only,109,20.3364,0,1,0
boundary_only,110,24.7881,0,1,0
boundary_only,111,20.1959,0,1,0
boundary_only,112,19.6465,0,1,0
