scenario,seed,method,trajectory_index,both_passed,collision,margin_violation,minimum_separation_m,crossing_gap_s,tracking_rmse_mean_m,maximum_tracking_error_m,maximum_tilt_degrees,motor_saturation_fraction
severe,8102,nash_reference,4,1,1,1,0.11825098413975127,0.1199995942233878,0.17014797932967757,0.22468215239143052,30.570468860773207,0.0
severe,8102,nash_reference,5,1,0,1,0.29241159523491356,0.7863038703937346,0.2014308896534383,0.2714365655631551,14.706615344612588,0.0
severe,8102,nash_reference,6,1,1,1,0.15961859030180534,0.18572402855415593,0.1689698962926496,0.23190382483500568,22.772447805751447,0.0
severe,8102,nash_reference,7,1,0,1,0.2823614046206663,0.448486018225007,0.1264930422263005,0.18373853201523582,15.449998250290848,0.0
severe,8102,teacher_expert,0,1,1,1,0.2045299904487396,0.4064124044481465,0.146188129531268,0.19639988090631683,18.024493210561566,0.0
severe,8102,teacher_expert,1,1,0,0,0.388005300800062,0.5929643385049532,0.17802245223296237,0.21416910087193972,19.446933968201424,0.0
severe,8102,teacher_expert,2,1,0,1,0.359776448555458,0.4927665010439075,0.1295802576018264,0.17958849975148666,23.107862862185108,0.0
severe,8102,teacher_expert,3,1,1,1,0.20349880489584182,0.23822578146964624,0.1755512518270262,0.2516355025751359,20.55766253166826,0.0
severe,8102,teacher_expert,4,1,1,1,0.19452364761030205,0.2880668077850683,0.17060763789118677,0.2258141080002262,25.162552166039216,0.0
severe,8102,teacher_expert,5,1,0,1,0.2875910721464301,0.9035339071056714,0.20133657589823306,0.2721326919021648,14.616635572891184,0.0
severe,8102,teacher_expert,6,1,1,1,0.1751396066464468,0.3123689336947928,0.16875014188811577,0.23258197774258593,22.540396723309733,0.0
severe,8102,teacher_expert,7,1,0,0,0.3813990094083428,0.5409306783986501,0.1264436922921283,0.1836608195516871,15.511069056988918,0.0
severe,8102,nash_reference_hocbf,0,1,0,0,0.3963385631781521,0.6039688135029948,0.146179587613461,0.1975423896708164,17.979380017514565,0.0
severe,8102,nash_reference_hocbf,1,1,0,0,0.5057684412214453,0.8179000751418029,0.17825492205756888,0.2154069306614572,19.68214168485615,0.0
severe,8102,nash_reference_hocbf,2,1,0,0,0.5938002133438481,0.7471346865608273,0.12971943211602627,0.1815719575971875,23.257643668944386,0.0
severe,8102,nash_reference_hocbf,3,1,0,1,0.34614851391308393,0.5323268951083566,0.17632148973696066,0.2501569979154798,21.844049770265606,0.0
severe,8102,nash_reference_hocbf,4,1,0,0,0.40148175490201105,0.581776439307486,0.17008640056375593,0.2272363499082615,34.346692506244274,0.0
severe,8102,nash_reference_hocbf,5,1,0,0,0.47776837938300054,1.1196206785770286,0.2024131332096962,0.2733366934534061,15.237387482402236,0.0
severe,8102,nash_reference_hocbf,6,1,0,1,0.3264798210968933,0.49631572775165544,0.16866516552166683,0.23621269837394562,22.458891789890796,0.0
severe,8102,nash_reference_hocbf,7,1,0,0,0.5630602960982807,0.8063801014659198,0.12661618402352848,0.1820395828247827,14.70144639977153,0.0
severe,8102,phase1_cfm_hocbf,0,1,0,0,0.3957541546121353,0.6265635373719665,0.1465463148637881,0.1983462101002976,18.961466141853197,0.0
severe,8102,phase1_cfm_hocbf,1,1,0,0,0.5057684412214453,0.8437488002487881,0.17823438546784687,0.21618574240770977,22.563150234035103,0.0
severe,8102,phase1_cfm_hocbf,2,1,0,0,0.5912603769496304,0.7448238130289817,0.13199189408866693,0.19368034724528488,26.919581788936622,0.0
severe,8102,phase1_cfm_hocbf,3,1,0,1,0.3408034235180648,0.5325090483941697,0.1765228367621006,0.25184546952618686,20.92273661501018,0.0
severe,8102,phase1_cfm_hocbf,4,1,0,0,0.4108222737102847,0.6029950149628402,0.17154422761902016,0.23564108553012825,35.69331927222827,0.0
severe,8102,phase1_cfm_hocbf,5,1,0,0,0.4765465567943471,1.1255582657589491,0.20390053543251985,0.2762687734530898,16.341411766685727,0.0
severe,8102,phase1_cfm_hocbf,6,1,0,1,0.32587178495336044,0.5248974275335734,0.1684809750684163,0.2374618293205575,23.253830404443907,0.0
severe,8102,phase1_cfm_hocbf,7,1,0,0,0.5593765302997358,0.8128790078209569,0.12677537472073153,0.1830103932177671,16.070565481063973,0.0
severe,8102,phase2_guided_cfm_hocbf,0,1,0,0,0.3944895696614906,0.6284985317099818,0.1465459237656141,0.1984496410813721,19.523412429971206,0.0
severe,8102,phase2_guided_cfm_hocbf,1,1,0,0,0.5057684412214453,0.8452601085461626,0.17824613076271933,0.21576420626411005,22.536051982773664,0.0
severe,8102,phase2_guided_cfm_hocbf,2,1,0,0,0.5819840577499826,0.7557061709564323,0.1308893202288269,0.18145507000976852,21.11190586176339,0.0
severe,8102,phase2_guided_cfm_hocbf,3,1,0,1,0.3434864218667115,0.5340759605536367,0.1765629567278162,0.25182945744000523,20.91995621529294,0.0
severe,8102,phase2_guided_cfm_hocbf,4,1,0,0,0.39022298520680554,0.5961769963101315,0.1693141515771921,0.22828257442253108,38.10420382434441,0.0
